######################### Start train #########################
[Learner] Update_iteration: 0      	 | actor_loss : 1379.061 	 | critic_loss : 160158.656
[Learner] Update_iteration: 200    	 | actor_loss : 461.941 	 | critic_loss : 363092.062
[Learner] Update_iteration: 400    	 | actor_loss : 439.789 	 | critic_loss : 54450.566
[Learner] Update_iteration: 600    	 | actor_loss : 473.345 	 | critic_loss : 21471.918
[Learner] Update_iteration: 800    	 | actor_loss : 461.727 	 | critic_loss : 6037.611
[Learner] Update_iteration: 1000   	 | actor_loss : 435.485 	 | critic_loss : 2036.474
[Learner] Update_iteration: 1200   	 | actor_loss : 423.565 	 | critic_loss : 831.000
[Learner] Update_iteration: 1400   	 | actor_loss : 431.901 	 | critic_loss : 313.168
[Learner] Update_iteration: 1600   	 | actor_loss : 439.898 	 | critic_loss : 101.834
[Learner] Update_iteration: 1800   	 | actor_loss : 445.869 	 | critic_loss : 41.494
[Learner] Update_iteration: 2000   	 | actor_loss : 449.012 	 | critic_loss : 21.436
[Learner] Update_iteration: 2200   	 | actor_loss : 453.318 	 | critic_loss : 13.324
[Learner] Update_iteration: 2400   	 | actor_loss : 458.922 	 | critic_loss : 10.700
[Learner] Update_iteration: 2600   	 | actor_loss : 463.642 	 | critic_loss : 9.863
[Learner] Update_iteration: 2800   	 | actor_loss : 468.201 	 | critic_loss : 9.685
[Learner] Update_iteration: 3000   	 | actor_loss : 473.248 	 | critic_loss : 9.404
[Learner] Update_iteration: 3200   	 | actor_loss : 478.007 	 | critic_loss : 9.682
[Learner] Update_iteration: 3400   	 | actor_loss : 482.990 	 | critic_loss : 9.597
[Learner] Update_iteration: 3600   	 | actor_loss : 487.803 	 | critic_loss : 9.385
[Learner] Update_iteration: 3800   	 | actor_loss : 492.540 	 | critic_loss : 9.084
[Learner] Update_iteration: 4000   	 | actor_loss : 497.670 	 | critic_loss : 10.093
[Learner] Update_iteration: 4200   	 | actor_loss : 503.132 	 | critic_loss : 9.531
[Learner] Update_iteration: 4400   	 | actor_loss : 508.502 	 | critic_loss : 9.707
[Learner] Update_iteration: 4600   	 | actor_loss : 513.775 	 | critic_loss : 9.627
[Learner] Update_iteration: 4800   	 | actor_loss : 519.087 	 | critic_loss : 10.003
[Learner] Update_iteration: 5000   	 | actor_loss : 524.460 	 | critic_loss : 9.893
[Learner] Update_iteration: 5200   	 | actor_loss : 529.750 	 | critic_loss : 9.578
[Learner] Update_iteration: 5400   	 | actor_loss : 535.046 	 | critic_loss : 9.733
[Learner] Update_iteration: 5600   	 | actor_loss : 540.542 	 | critic_loss : 9.892
[Learner] Update_iteration: 5800   	 | actor_loss : 545.622 	 | critic_loss : 10.100
[Learner] Update_iteration: 6000   	 | actor_loss : 550.997 	 | critic_loss : 10.048
[Learner] Update_iteration: 6200   	 | actor_loss : 556.217 	 | critic_loss : 9.981
[Learner] Update_iteration: 6400   	 | actor_loss : 561.635 	 | critic_loss : 10.020
[Learner] Update_iteration: 6600   	 | actor_loss : 566.830 	 | critic_loss : 10.020
[Learner] Update_iteration: 6800   	 | actor_loss : 572.230 	 | critic_loss : 10.161
[Learner] Update_iteration: 7000   	 | actor_loss : 577.469 	 | critic_loss : 10.381
[Learner] Update_iteration: 7200   	 | actor_loss : 582.566 	 | critic_loss : 9.879
[Learner] Update_iteration: 7400   	 | actor_loss : 587.788 	 | critic_loss : 10.340
[Learner] Update_iteration: 7600   	 | actor_loss : 593.248 	 | critic_loss : 10.316
[Learner] Update_iteration: 7800   	 | actor_loss : 598.679 	 | critic_loss : 10.626
[Learner] Update_iteration: 8000   	 | actor_loss : 603.960 	 | critic_loss : 10.867
[Learner] Update_iteration: 8200   	 | actor_loss : 609.326 	 | critic_loss : 10.659
[Learner] Update_iteration: 8400   	 | actor_loss : 614.569 	 | critic_loss : 11.227
[Learner] Update_iteration: 8600   	 | actor_loss : 619.837 	 | critic_loss : 10.627
[Learner] Update_iteration: 8800   	 | actor_loss : 624.810 	 | critic_loss : 10.920
[Learner] Update_iteration: 9000   	 | actor_loss : 630.319 	 | critic_loss : 10.943
[Learner] Update_iteration: 9200   	 | actor_loss : 635.619 	 | critic_loss : 10.346
[Learner] Update_iteration: 9400   	 | actor_loss : 640.970 	 | critic_loss : 10.985
[Learner] Update_iteration: 9600   	 | actor_loss : 646.349 	 | critic_loss : 11.279
[Learner] Update_iteration: 9800   	 | actor_loss : 651.646 	 | critic_loss : 10.792
[Learner] Update_iteration: 10000  	 | actor_loss : 657.124 	 | critic_loss : 10.715
[Learner] Update_iteration: 10200  	 | actor_loss : 662.347 	 | critic_loss : 10.853
[Learner] Update_iteration: 10400  	 | actor_loss : 667.816 	 | critic_loss : 10.930
[Learner] Update_iteration: 10600  	 | actor_loss : 673.232 	 | critic_loss : 10.900
[Learner] Update_iteration: 10800  	 | actor_loss : 678.659 	 | critic_loss : 10.882
[Learner] Update_iteration: 11000  	 | actor_loss : 684.133 	 | critic_loss : 10.628
[Learner] Update_iteration: 11200  	 | actor_loss : 689.437 	 | critic_loss : 11.026
[Learner] Update_iteration: 11400  	 | actor_loss : 695.034 	 | critic_loss : 11.170
[Learner] Update_iteration: 11600  	 | actor_loss : 700.487 	 | critic_loss : 11.513
[Learner] Update_iteration: 11800  	 | actor_loss : 705.734 	 | critic_loss : 11.327
[Learner] Update_iteration: 12000  	 | actor_loss : 711.628 	 | critic_loss : 10.942
[Learner] Update_iteration: 12200  	 | actor_loss : 716.865 	 | critic_loss : 11.471
[Learner] Update_iteration: 12400  	 | actor_loss : 722.441 	 | critic_loss : 11.538
[Learner] Update_iteration: 12600  	 | actor_loss : 727.844 	 | critic_loss : 11.647
[Learner] Update_iteration: 12800  	 | actor_loss : 733.532 	 | critic_loss : 11.497
[Learner] Update_iteration: 13000  	 | actor_loss : 739.166 	 | critic_loss : 11.685
[Learner] Update_iteration: 13200  	 | actor_loss : 744.633 	 | critic_loss : 11.222
[Learner] Update_iteration: 13400  	 | actor_loss : 750.051 	 | critic_loss : 11.768
[Learner] Update_iteration: 13600  	 | actor_loss : 755.877 	 | critic_loss : 11.772
[Learner] Update_iteration: 13800  	 | actor_loss : 761.413 	 | critic_loss : 11.906
[Learner] Update_iteration: 14000  	 | actor_loss : 767.161 	 | critic_loss : 11.853
[Learner] Update_iteration: 14200  	 | actor_loss : 772.820 	 | critic_loss : 11.967
[Learner] Update_iteration: 14400  	 | actor_loss : 778.622 	 | critic_loss : 11.469
[Learner] Update_iteration: 14600  	 | actor_loss : 784.247 	 | critic_loss : 11.903
[Learner] Update_iteration: 14800  	 | actor_loss : 789.932 	 | critic_loss : 11.957
[Learner] Update_iteration: 15000  	 | actor_loss : 795.597 	 | critic_loss : 12.037
[Learner] Update_iteration: 15200  	 | actor_loss : 801.111 	 | critic_loss : 12.468
[Learner] Update_iteration: 15400  	 | actor_loss : 807.196 	 | critic_loss : 12.606
[Learner] Update_iteration: 15600  	 | actor_loss : 812.788 	 | critic_loss : 11.996
[Learner] Update_iteration: 15800  	 | actor_loss : 818.540 	 | critic_loss : 12.251
[Learner] Update_iteration: 16000  	 | actor_loss : 823.996 	 | critic_loss : 13.151
[Learner] Update_iteration: 16200  	 | actor_loss : 830.049 	 | critic_loss : 13.115
[Learner] Update_iteration: 16400  	 | actor_loss : 835.680 	 | critic_loss : 12.648
[Learner] Update_iteration: 16600  	 | actor_loss : 841.463 	 | critic_loss : 12.617
[Learner] Update_iteration: 16800  	 | actor_loss : 847.397 	 | critic_loss : 13.093
[Learner] Update_iteration: 17000  	 | actor_loss : 853.314 	 | critic_loss : 13.312
[Learner] Update_iteration: 17200  	 | actor_loss : 859.213 	 | critic_loss : 12.477
[Learner] Update_iteration: 17400  	 | actor_loss : 865.527 	 | critic_loss : 12.683
[Learner] Update_iteration: 17600  	 | actor_loss : 871.088 	 | critic_loss : 12.100
[Learner] Update_iteration: 17800  	 | actor_loss : 876.782 	 | critic_loss : 13.227
[Learner] Update_iteration: 18000  	 | actor_loss : 882.679 	 | critic_loss : 13.181
[Learner] Update_iteration: 18200  	 | actor_loss : 889.003 	 | critic_loss : 13.052
[Learner] Update_iteration: 18400  	 | actor_loss : 894.798 	 | critic_loss : 13.909
[Learner] Update_iteration: 18600  	 | actor_loss : 900.757 	 | critic_loss : 13.747
[Learner] Update_iteration: 18800  	 | actor_loss : 906.734 	 | critic_loss : 13.992
[Learner] Update_iteration: 19000  	 | actor_loss : 912.860 	 | critic_loss : 13.518
[Learner] Update_iteration: 19200  	 | actor_loss : 918.794 	 | critic_loss : 13.545
[Learner] Update_iteration: 19400  	 | actor_loss : 924.582 	 | critic_loss : 13.735
[Learner] Update_iteration: 19600  	 | actor_loss : 930.823 	 | critic_loss : 13.839
[Learner] Update_iteration: 19800  	 | actor_loss : 936.735 	 | critic_loss : 13.682
[Learner] Update_iteration: 20000  	 | actor_loss : 942.589 	 | critic_loss : 14.745
[Learner] Update_iteration: 20200  	 | actor_loss : 948.855 	 | critic_loss : 13.670
[Learner] Update_iteration: 20400  	 | actor_loss : 954.931 	 | critic_loss : 13.814
[Learner] Update_iteration: 20600  	 | actor_loss : 961.118 	 | critic_loss : 14.030
[Learner] Update_iteration: 20800  	 | actor_loss : 967.479 	 | critic_loss : 14.250
[Learner] Update_iteration: 21000  	 | actor_loss : 973.583 	 | critic_loss : 14.083
[Learner] Update_iteration: 21200  	 | actor_loss : 979.761 	 | critic_loss : 13.972
[Learner] Update_iteration: 21400  	 | actor_loss : 985.695 	 | critic_loss : 14.874
[Learner] Update_iteration: 21600  	 | actor_loss : 992.501 	 | critic_loss : 15.240
[Learner] Update_iteration: 21800  	 | actor_loss : 998.459 	 | critic_loss : 15.016
[Learner] Update_iteration: 22000  	 | actor_loss : 1004.719 	 | critic_loss : 14.656
[Learner] Update_iteration: 22200  	 | actor_loss : 1010.722 	 | critic_loss : 14.579
[Learner] Update_iteration: 22400  	 | actor_loss : 1017.039 	 | critic_loss : 14.762
[Learner] Update_iteration: 22600  	 | actor_loss : 1023.699 	 | critic_loss : 14.905
[Learner] Update_iteration: 22800  	 | actor_loss : 1030.148 	 | critic_loss : 15.162
[Learner] Update_iteration: 23000  	 | actor_loss : 1036.622 	 | critic_loss : 15.291
[Learner] Update_iteration: 23200  	 | actor_loss : 1042.904 	 | critic_loss : 14.567
[Learner] Update_iteration: 23400  	 | actor_loss : 1048.962 	 | critic_loss : 15.259
[Learner] Update_iteration: 23600  	 | actor_loss : 1055.446 	 | critic_loss : 15.703
[Learner] Update_iteration: 23800  	 | actor_loss : 1062.199 	 | critic_loss : 16.057
[Learner] Update_iteration: 24000  	 | actor_loss : 1068.097 	 | critic_loss : 14.942
[Learner] Update_iteration: 24200  	 | actor_loss : 1074.938 	 | critic_loss : 15.293
[Learner] Update_iteration: 24400  	 | actor_loss : 1081.223 	 | critic_loss : 14.994
[Learner] Update_iteration: 24600  	 | actor_loss : 1087.592 	 | critic_loss : 15.160
[Learner] Update_iteration: 24800  	 | actor_loss : 1094.068 	 | critic_loss : 16.111
[Learner] Update_iteration: 25000  	 | actor_loss : 1100.684 	 | critic_loss : 16.389
[Learner] Update_iteration: 25200  	 | actor_loss : 1107.743 	 | critic_loss : 18.253
[Learner] Update_iteration: 25400  	 | actor_loss : 1114.200 	 | critic_loss : 17.649
[Learner] Update_iteration: 25600  	 | actor_loss : 1120.923 	 | critic_loss : 18.004
[Learner] Update_iteration: 25800  	 | actor_loss : 1126.909 	 | critic_loss : 16.314
[Learner] Update_iteration: 26000  	 | actor_loss : 1133.733 	 | critic_loss : 16.254
[Learner] Update_iteration: 26200  	 | actor_loss : 1140.296 	 | critic_loss : 16.656
[Learner] Update_iteration: 26400  	 | actor_loss : 1147.119 	 | critic_loss : 16.505
[Learner] Update_iteration: 26600  	 | actor_loss : 1153.344 	 | critic_loss : 16.916
[Learner] Update_iteration: 26800  	 | actor_loss : 1160.500 	 | critic_loss : 19.358
[Learner] Update_iteration: 27000  	 | actor_loss : 1167.389 	 | critic_loss : 17.500
[Learner] Update_iteration: 27200  	 | actor_loss : 1173.718 	 | critic_loss : 17.597
[Learner] Update_iteration: 27400  	 | actor_loss : 1180.337 	 | critic_loss : 17.402
[Learner] Update_iteration: 27600  	 | actor_loss : 1186.798 	 | critic_loss : 18.075
[Learner] Update_iteration: 27800  	 | actor_loss : 1193.948 	 | critic_loss : 18.843
